,IRIS,LIBCOM,TYP_IRIS,C16_PMEN_MENSFAM,C16_PMEN_MENHSEUL,C16_PMEN_MENFSEUL,C16_PMEN_MENCOUPSENF,C16_PMEN_MENCOUPAENF,C16_PMEN_MENFAMMONO,C16_PMEN_CS1,C16_PMEN_CS2,C16_PMEN_CS3,C16_PMEN_CS4,C16_PMEN_CS5,C16_PMEN_CS6,C16_PMEN_CS7,C16_PMEN_CS8
212,012020101,Lagnieu,H,25.0,190.0,265.0,870.0,1470.0,285.0,5.0,130.0,380.0,580.0,475.0,735.0,670.0,130.0
213,012020102,Lagnieu,H,75.0,255.0,365.0,870.0,1890.0,480.0,10.0,195.0,320.0,770.0,770.0,1020.0,700.0,150.0
250,012440101,Meximieux,H,113.82266357428468,173.39809909826633,270.29703682965044,646.9224638818285,1232.36199930544,370.86827501597065,0.0,110.30906458720196,513.1519127572653,576.1165192463955,525.8190299190057,434.98300962250335,552.0182476750523,95.27275389801676
251,012440102,Meximieux,H,84.7795083434915,234.59742819177208,260.0971486473995,495.5612394832661,937.8999064782536,326.59276675906756,10.11349468333196,138.8734059314337,254.96161192068155,331.2782064797867,317.25352066079495,830.381036352482,431.25339491803095,25.4133269567084
252,012440103,Meximieux,H,35.26873877835391,61.19932909350576,96.89893773138412,434.5390755318575,1537.9928458214208,156.03249390030467,0.0,239.40153857230248,503.537206790393,704.195124030711,363.66075978158017,348.80251575501484,157.2343318356999,5.09994409112548
257,012490101,Miribel,H,55.9139890832766,152.0898788189025,212.9258303464635,518.1812098787586,1388.1064520767918,341.10366578619494,0.0,101.75231998514468,438.1898819665488,779.1658140191863,580.7314982019542,408.0712741050657,324.8592616399275,35.55097607256096
258,012490102,Miribel,H,10.16041587997566,273.7617818740245,329.5280707742887,757.2366286885789,1800.922957437764,467.9922066973972,0.0,173.19257851877694,474.0998571112291,641.2493099512061,804.5358127700209,662.7351360826598,695.8951611182301,187.89420579990585
259,012490103,Miribel,H,30.48124763992698,60.835951527561,111.5325778005285,726.5860630670553,1943.8241668226744,137.32412309672375,50.88670530526342,280.3960385910112,769.534641587353,698.6027992803374,320.88901210738334,402.6379135112426,441.8410675192944,45.79595205258451
269,012620101,Montluel,H,30.54258228153342,149.43073667274174,209.6181167214849,770.1587708544073,1908.8786751319465,309.32958023624104,20.17101628965792,354.674855955538,688.2689272426136,792.8146490800949,426.2887928685245,590.4729945029429,505.2672259589828,0.0
270,012620102,Montluel,H,111.41178417224232,317.5403154295762,332.06830371720383,767.9671645782618,1618.901166976597,254.90876361740195,10.18086076051114,161.4954056788712,291.5081651900573,623.0137557200974,480.8906991242782,993.36027941207,732.238913320222,110.10941928517602
288,012830102,Oyonnax,H,25.27090252518466,73.39715979296273,147.18816467368265,370.4850639690171,1263.4445557039244,328.55130062621055,0.0,69.04410016422864,17.18414868141674,215.7538799292917,277.4184748491604,1146.9161806817606,387.5137188290883,94.50664415603568
289,012830103,Oyonnax,H,56.07300117931274,141.28188305495738,267.45173502170513,514.8586317235727,1480.436801720895,452.55008642139995,0.0,113.97547786083284,41.32450752178199,265.28353675668336,369.9108788101763,1317.3619191423847,612.9912592777938,191.8045597521896
290,012830104,Oyonnax,H,28.90369520571583,72.24588383593758,80.19658773583767,223.4624032238184,1829.8785103086311,266.8903328431375,0.0,108.07297986610564,59.49503018707599,126.76540741860666,358.3234713183213,1359.9072801305929,365.4271939511829,123.58605028119302
291,012830201,Oyonnax,H,2.41286595246982,170.7804536417439,262.370386960954,574.0686192042675,987.3095810983036,213.34001757008087,0.0,146.6496991603197,150.6116796886444,354.6108711049387,173.32669568434366,751.0830602837365,552.5924118470177,81.40750665881896
292,012830202,Oyonnax,H,69.1401314405589,221.94320889106524,221.03583111805187,580.8984923104566,866.4512948960823,195.72174997115258,0.0,104.28349922385212,148.37281909951034,335.0966309269093,308.19628310015,674.2117899043091,500.37291858453113,84.65676778810558
