,IRIS,LIBCOM,TYP_IRIS,P16_POP0014,P16_POP1529,P16_POP3044,P16_POP4559,P16_POP6074,P16_POP75P,C16_POP15P_CS1,C16_POP15P_CS2,C16_POP15P_CS3,C16_POP15P_CS4,C16_POP15P_CS5,C16_POP15P_CS6,C16_POP15P_CS7,C16_POP15P_CS8
65,010530401,Bourg-en-Bresse,H,327.831362097016,295.74681672111194,297.99126170956254,380.3297085018745,414.1390600005972,481.6555394445497,0.0,24.86239759677237,84.21233251089764,177.16825648916893,225.03557463517907,245.81619947543984,830.1803636061924,281.0139674679246
66,010530402,Bourg-en-Bresse,H,412.63659523598506,464.8243707276936,341.6886151498462,541.9052929117095,434.4802721071201,247.26635249124232,3.03871257632289,49.72496902503282,181.14138795934727,337.08245581465815,323.05842238176206,255.15087825908924,597.323818702485,282.6442573037332
67,010530501,Bourg-en-Bresse,H,326.53355295529207,293.18903553084465,216.9042771047997,343.40601156010416,447.5939890710391,394.4307803881793,0.0,10.13411839512754,106.27369946110204,187.7008210193073,230.59419137936223,168.09401921831363,769.3940008493676,213.83120219023587
68,010530502,Bourg-en-Bresse,H,527.9130455675365,477.94714618243023,491.3992299796895,559.6009885410732,541.37939632396,317.88687121615715,0.0,63.19088849990032,188.61802666691463,307.1855065280533,371.11188825288224,293.6881708352583,789.8242387754221,371.18186454719626
69,010530503,Bourg-en-Bresse,H,599.9643859443228,421.5773190238946,487.1712352005164,450.94742151784845,418.19212812766415,146.31402311403798,1.20027384565666,43.60031711315749,55.08019776242386,131.85325802952912,345.1404556042658,442.986720807034,454.9098256654137,449.43107815648096
70,010530601,Bourg-en-Bresse,H,476.6552509072493,542.1003499704169,427.2874002406277,381.23103568302,453.6385925754344,304.684087372765,0.0,43.278689359448975,35.171167123106535,201.7491161464908,276.40752614357456,371.62149674038216,666.9200265534843,512.8283677028186
71,010530602,Bourg-en-Bresse,H,418.8367910503075,328.0847775131506,321.7265663884114,318.4382696508031,293.5067386138755,211.29831907315815,0.0,42.8240802073108,26.10450711527902,110.57571874128811,192.6177195668064,292.49105032786485,451.1323459091134,357.30924937173614
72,010530603,Bourg-en-Bresse,H,413.6167387789175,313.2750555301775,314.01205408731505,263.6302825117794,205.85307546265489,139.70382442326172,0.0,15.779855005184602,6.029506145187959,87.37981541722563,170.21002369510686,296.36550812813147,300.24935681195376,360.4602268123981
73,010530604,Bourg-en-Bresse,H,190.2106851386577,191.619676940576,207.73638663109085,297.49799316481773,357.38922128362026,210.6682918948834,2.60268422250253,23.54743589547762,88.61646322495692,132.74247857437155,149.48864687894834,122.734007810878,523.3476663420923,228.0014668673014
74,010530701,Bourg-en-Bresse,H,580.3619659282147,927.4409324303916,781.5644338076814,562.7147145820735,469.41836802195775,158.10312426456156,5.68133470342118,61.83133618268058,109.89433865038494,307.91545480140866,422.7091768790734,308.48601390995884,555.6395307565314,1122.055879948815
155,011430101,Divonne-les-Bains,H,672.6839908819918,479.6180957390847,884.2274943012449,648.6678239523058,456.3245660178853,303.23503419253024,0.0,107.94774679992996,691.8469226722784,417.0708399088203,397.4439768542876,240.4290724180258,637.8730492723134,343.1467210240227
156,011430102,Divonne-les-Bains,H,630.0223040504997,313.1044362616166,619.2275293705067,588.805891635981,324.8245835525162,155.05221813080834,4.90671576363318,83.41416798176407,446.5111344906194,318.9365246361567,220.8022093634931,147.2014729089954,471.0447133087853,343.4701034543226
157,011430103,Divonne-les-Bains,H,804.1491495704014,429.0521830615465,790.2051201122215,704.8096089777309,440.6734781963608,220.3164919947664,0.0,93.41416798176404,539.7387339996498,446.5111344906194,461.2312817815189,147.2014729089954,505.8957498752345,368.32553716667366
173,011600101,Ferney-Voltaire,H,707.7155240346729,578.8128447596531,961.0620567375886,621.700354609929,374.1276595744681,153.93794326241135,0.0,29.35726950354607,482.2739361702128,550.4742907801418,657.6462765957447,204.61633175728912,418.9450354609929,375.302403467297
174,011600102,Ferney-Voltaire,H,504.81117021276594,460.9423758865248,724.9494680851063,512.5540780141844,370.281914893617,189.01241134751774,0.0,68.20035460992908,409.2021276595745,350.74468085106383,350.74468085106383,214.34397163120568,384.8448581560284,365.3590425531915
175,011600103,Ferney-Voltaire,H,687.8492907801418,652.7339706728003,804.6534406747173,735.5895390070922,438.4308510638298,157.83510638297875,0.0,63.45744680851061,409.2021276595745,423.81648936170217,643.031914893617,321.5159574468085,404.33067375886526,589.5415229058844
184,011730101,Gex,H,756.8465746335786,827.3099808264043,971.7502788598906,639.3563862433962,347.284569056711,168.2893914561148,0.0,92.29327858553926,367.7108586971586,644.9764558538144,726.3015831571422,437.9834250159312,385.5604378521938,317.95389721603965
185,011730102,Gex,H,1168.2880999534916,887.0458167608621,1348.2241144271331,948.0589402585716,477.1339042494556,335.6162754687574,10.3839139679229,96.55260186660996,464.04663547712295,714.7853367548374,989.2864696839332,421.0984700591644,666.9886213654968,453.5987272497864
186,011730103,Gex,H,708.1825560228395,924.5921046245044,1003.8327281452248,729.681154650878,311.3045268681116,99.20259749407579,0.0,106.34877506733368,508.56560574759607,618.4863732527682,736.3891381520508,382.2620396839423,307.2531418342056,392.4491061086064
204,011940101,Jassans-Riottier,H,771.4270439154515,708.5536075139371,720.3800540688013,858.9296837092221,669.7484266749525,462.70541690051147,0.0,144.53269224096542,222.3334871568941,543.5796920837374,610.5586104744583,455.03403796337454,1035.3571674056598,385.72051884773776
