,IRIS,LIBCOM,TYP_IRIS,P16_RPMAISON,P16_RPAPPART,P16_RP_LOCHLMV
2195,060290105,Cannes,H,103.70023138188309,903.2557736076652,151.00468796897067
2196,060290106,Cannes,H,159.9297118729945,826.0058236151551,0.0
2197,060290107,Cannes,H,93.59673777643115,1683.3445812623368,144.62278933169029
2198,060290108,Cannes,H,59.34586913520748,1281.8771226565405,0.0
2199,060290109,Cannes,H,40.05849075161193,1363.9482090429,26.54659474381712
2200,060290110,Cannes,H,0.0,594.9003074207749,56.18751990343253
2201,060290111,Cannes,H,0.0,728.5374013137737,0.0
2202,060290112,Cannes,H,141.72026912156815,1260.3664891930473,0.0
2203,060290113,Cannes,H,224.65142596073105,982.396465786592,14.37187472366771
2204,060290114,Cannes,H,202.8162430216948,1013.9438464320424,10.204171350026302
2205,060290115,Cannes,H,199.4294495270949,848.007993840322,32.4156340209248
2206,060290116,Cannes,H,48.55978474480877,932.7219153330252,28.98969179301959
2207,060290117,Cannes,H,28.95243713789478,699.7612035017918,20.3004243594735
2208,060290118,Cannes,H,121.08205265736856,951.5400578024728,454.2711620250776
2209,060290119,Cannes,H,64.79375235744507,1082.5870787091112,310.1680496478979
2210,060290120,Cannes,H,298.1752510312725,1226.6987744998455,278.9111108355215
2211,060290121,Cannes,H,131.54354186602373,1213.604528825928,0.0
2212,060290122,Cannes,H,263.976363611234,829.8875824400013,371.1922723011956
2213,060290123,Cannes,H,321.72030828304685,2131.638303107963,760.386316522634
2215,060290125,Cannes,H,97.54370049272951,1278.2825888268624,233.3277733354812
2216,060290126,Cannes,H,77.91565803330772,1422.503988451186,358.1762895868745
2217,060290127,Cannes,H,156.7211000645536,729.4668629787544,418.8072114486132
2218,060290128,Cannes,H,49.81604010358936,685.348009578708,597.0690239751133
2219,060290130,Cannes,H,222.32236928832012,1342.220217744961,780.4373661669921
2220,060290131,Cannes,H,60.62160039424863,1081.081302903646,769.7138531606278
2221,060290132,Cannes,H,95.5085883497567,877.6610934992484,513.8253456505715
2222,060300101,Le Cannet,H,95.17621697772806,688.718358235563,371.2827144276657
2223,060300102,Le Cannet,H,292.7501694658572,600.4845064216311,81.12897717241096
2224,060300103,Le Cannet,H,177.00538099592163,1412.4501803621315,204.99535614616332
